Commodity,Overall Sentiment,Average Sentiment Score,Positive Count,Neutral Count,Negative Count,Last Update
crude oil,Negative,-0.186586,31,16,53,2024-12-20T17:33:40Z
coffee,Positive,0.48550599999999994,73,17,10,2024-12-20T02:47:38Z
natural gas,Positive,0.33700600000000003,66,12,22,2024-12-20T16:20:52Z
gold,Positive,0.356538,64,17,19,2024-12-22T01:17:32Z
wheat,Positive,0.3477860000000001,68,11,21,2024-12-22T02:18:58Z
cotton,Positive,0.584193,87,5,8,2024-12-22T05:16:37Z
corn,Positive,0.39393500000000004,68,12,20,2024-12-21T13:47:01Z
sugar,Positive,0.5246650000000002,77,10,13,2024-12-21T12:50:02Z
silver,Positive,0.31176500000000007,60,18,22,2024-12-21T20:43:46Z
copper,Positive,0.44834399999999996,67,19,14,2024-12-21T20:43:46Z
